#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9

#if an entry is missing, it is considered to be blank
#if any delimiters are missing, all entries from that point on are blank
#some entries may have embedded HTML code

003|catechetical-letter-01_2015+first-things+god-he-who-is-the-trinity|Catechetical Letter 01|First Things|God He Who Is The Trinity|2015|Catechetical Letter 01|0000||0000|||||||||||||||Catechetical Letter 01|||||||
066|full-voice_2014-09-02+patriarch-joseph-the-all-comely+type-of-christ-patron-of-texas-orthodox-prison-ministry|Full Voice|||2014-09-02|A Priest should speak with a full voice|0000||0000||||||||||A summary of the life of Joseph the All-comely, and many examples of how he is a type of Christ. Joseph is the patron for Orthodox prison ministry in Texas.||A summary of the life of Joseph the All-comely, and many examples of how he is a type of Christ. Joseph is the patron for Orthodox prison ministry in Texas.|Patriarch Joseph the All-Comely. A type of Christ. Patron of Texas Orthodox Prison Ministry ||A Priest should speak with a full voice|||||||
067|full-voice_2014-09-02-patriarch-joseph-the-all-comely+type-of-christ-patron-of-texas-orthodox-prison-ministry|Full Voice|Type Of Christ Patron Of Texas Orthodox Prison Ministry||2014-09-02-patriarch-joseph-the-all-comely|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
068|full-voice_2014-09-22+commentary-on-scripture_matthew-02|Full Voice|||2014-09-22|A Priest should speak with a full voice|0000||0000|Matthew 2:1-15|||txt||||||The prisoners (in the Texas state prison system) that I see weekly are reading the Gospels together. I have asked them to comment upon what they read, or ask questions, and  I promised to send them simple commentaries. These small offerings, which are usually part of a letter sent to them, are not meant to be a scholarly exegesis, or comprehensive.  We must read the Gospels daily, and simply, and be like Mary, sitting at the feet of Jesus, desiring to be taught something edifying for our soul. Commentary on the first part of Matthewe chapter 2, concentrating on Herod and the Magi.||The prisoners (in the Texas state prison system) that I see weekly are reading the Gospels together. I have asked them to comment upon what they read, or ask questions, and  I promised to send them simple commentaries. These small offerings, which are usually part of a letter sent to them, are not meant to be a scholarly exegesis, or comprehensive.  We must read the Gospels daily, and simply, and be like Mary, sitting at the feet of Jesus, desiring to be taught something edifying for our soul. Commentary on the first part of Matthewe chapter 2, concentrating on Herod and the Magi|Commentary on Matthew Chapter 2. Holiness Happens. They departed into their own country another way. Excerpts from a letter to prisoners.||A Priest should speak with a full voice|||||||
069|full-voice_2014-09-22+commentary-on-scripture_matthew-03|Full Voice|Commentary On Scripture||2014-09-22|A Priest should speak with a full voice|0000||0000|Matthew-03||||||||||||||A Priest should speak with a full voice|||||||
070|full-voice_2014-09-22+commentary-on-scripture_matthew-04|Full Voice|Commentary On Scripture||2014-09-22|A Priest should speak with a full voice|0000||0000|Matthew-04||||||||||||||A Priest should speak with a full voice|||||||
071|full-voice_2014-10-04+three-rules-of-ministry+just-show-up-here-am-i-pray|Full Voice|||2014-10-04|A Priest should speak with a full voice|0000||0000|||||mp3|||||Christian ministry, which is (should be!) just like ordinary Christian life, has three main rules, which I have learned over the years. I explain, not in order of importance: 1. JUST SHOW UP 2. &quot;HERE AM I&quot; and, the most important, put last for a metaphorical reason: PRAY.||Christian ministry, which is (should be!) just like ordinary Christian life, has three main rules, which I have learned over the years. I explain, not in order of importance: 1. JUST SHOW UP 2. &quot;HERE AM I&quot; and, the most important, put last for a metaphorical reason: PRAY.|Three rules of Ministry (and of life): Just Show up, &quot;Here am I&quot;, &amp; Pray||A Priest should speak with a full voice|||||||
072|full-voice_2014-10-09+in-your-world-i-have-no-meaning+mandate-for-christians-in-a-breakup-song|Full Voice|||2014-10-09|A Priest should speak with a full voice|0000||0000|||||mp3|||||Secular music often has profound truths in it if you hear it spiritually. An example is the breakup song &quot;Missing you&quot; (by John Waite), which has the depressive, nihilistic lyric: &quot;In your world I have no meaning&quot;. Hearing this lyric on the heels of some excellent talks by Fr Moses Berry (from the recent 21st annual St Moses the Black conference) caused me to search for spiritual meaning in secular things, as I always do. Despite its mundane subject, this song is an impressive mandate to Christians. Nobody should ever say this about a true Christian! I am convinced that many believe this, not about former girlfriend, but about whole classes and races  of people and about true Christianity  (because their experiences with &quot;Christianity&quot; have not been true.  This idea explains much  of the reason for and reaction to the tragedy in Ferguson MO, for example. How can everyone in our world have meaning? (This was recorded on the way home from prison, but the fidelity is pretty good.)||Secular music often has profound truths in it if you hear it spiritually. An example is the breakup song &quot;Missing you&quot; (by John Waite), which has the depressive, nihilistic lyric: &quot;In your world I have no meaning&quot;. Hearing this lyric on the heels of some excellent talks by Fr Moses Berry (from the recent 21st annual St Moses the Black conference) caused me to search for spiritual meaning in secular things, as I always do. Despite its mundane subject, this song is an impressive mandate to Christians. Nobody should ever say this about a true Christian! I am convinced that many believe this, not about former girlfriend, but about whole classes and races  of people and about true Christianity  (because their experiences with &quot;Christianity&quot; have not been true.  This idea explains much  of the reason for and reaction to the tragedy in Ferguson MO, for example. How can everyone in our world have meaning? (This was recorded on the way home from prison, but the fidelity is pretty good.)|&quot;In your world I have no meaning&quot; A mandate for Christians in the secular breakup song &quot;Missing you&quot;||A Priest should speak with a full voice|||||||
073|full-voice_2014-11-19+every-day-saints+the-misfortune-of-monasteries-nowadays-is-that-people-come-here-with-weak-wills|Full Voice|Every Day Saints and Other Stories||2014-11-19|A Priest should speak with a full voice|0000||0000|||||mp3|||||Two quotes examined from &quot;Every day Saints and other stories&quot; &quot;The misfortune of monasteries nowadays is that people come here with weak wills&quot;  &quot;You are a monk... All that we wanted from you was just one thing, the main thing:  repentance and prayer. Instead of that, you gave us this woodwork...&quot; &quot;Every day Saints and other stories&quot; They are lined. The thing we need is to develop our will. God will help us, but we must work to reshape our priorities.||Two quotes examined from &quot;Every day Saints and other stories&quot; &quot;The misfortune of monasteries nowadays is that people come here with weak wills&quot;  &quot;You are a monk... All that we wanted from you was just one thing, the main thing:  repentance and prayer. Instead of that, you gave us this woodwork...&quot; &quot;Every day Saints and other stories&quot; They are lined. The thing we need is to develop our will. God will help us, but we must work to reshape our priorities.|&quot;The misfortune of monasteries nowadays is that people come here with weak wills&quot;  &quot;You are a monk... All that we wanted from you was just one thing, the main thing:  repentance and prayer. Instead of that, you gave us this woodwork...&quot; &quot;Every day Saints and other stories&quot;||A Priest should speak with a full voice|||||||
074|full-voice_2014-11-25+new-wine-in-old-wine-skins+old-teaching-of-priest-robert-arida_luke5-36-39|Full Voice|||2014-11-25|A Priest should speak with a full voice|0000||0000|Luke 5:36-39||||mp3|||||My reading this morning answers the &quot;new and alien spirit&quot; of the activism of Priest Fr Robert Arida for a life in which new wine is put into &quot;old wineskins&quot; The new wine is the Christian way of life, its dogma and morality. According to our Lord, those who indulge in old ways - that is self-centeredness, parsimony, worldliness, sexual sin (of course, this includes all fornication, including all same sex activity), and all the rest - do not prefer the new way because they say &quot;the old is better&quot; Clearly, the old ways, that is sin, are not compatible with Christianity. We talk about developing a taste for the new wine, and also how to interact with those who still prefer the old wine. The reception that Jesus attended in the home of Levi the tax collector (the Apostle Matthew) shows us what to do. Offer love, hospitality, acceptance of the person, to everyone. Break natural bread with all, and love all, but do so in truth.||My reading this morning answers the &quot;new and alien spirit&quot; of the activism of Priest Fr Robert Arida for a life in which new wine is put into &quot;old wineskins&quot; The new wine is the Christian way of life, its dogma and morality. According to our Lord, those who indulge in old ways - that is self-centeredness, parsimony, worldliness, sexual sin (of course, this includes all fornication, including all same sex activity), and all the rest - do not prefer the new way because they say &quot;the old is better&quot; Clearly, the old ways, that is sin, are not compatible with Christianity. We talk about developing a taste for the new wine, and also how to interact with those who still prefer the old wine. The reception that Jesus attended in the home of Levi the tax collector (the Apostle Matthew) shows us what to do. Offer love, hospitality, acceptance of the person, to everyone. Break natural bread with all, and love all, but do so in truth.|&quot;No man putteth new wine into old wine skins&quot; An answer to advocacy for the sexual heresy (and all old sins) of the age, ambiguously put forth by Priest Robert Arida||A Priest should speak with a full voice|||||||
075|full-voice_2014-12-29+planning-for-the-future-at-saint-nicholas|Full Voice|||2014-12-29|A Priest should speak with a full voice|0000||0000|||||mp3|||||Short, medium and long term plans for the future at St Nicholas and the main purpose of a parish. A little theology too: the meaning of &quot;Catholic&quot;.||Short, medium and long term plans for the future at St Nicholas and the main purpose of a parish. A little theology too: the meaning of &quot;Catholic&quot;.|Planning for the future at St Nicholas and the main purpose of a parish. ||A Priest should speak with a full voice|||||||
076|full-voice_2015+christian-life-priesthood-cactus|Full Voice|||2015|A Priest should speak with a full voice|0000||0000||||txt||||||Thoughts on the Christian life, the priesthood, and cactus after a cactus bloomed in the middle of a very hot summer after watering. ||Thoughts on the Christian life, the priesthood, and cactus after a cactus bloomed in the middle of a very hot summer after watering.|The Christian life, the priesthood, and cactus.||A Priest should speak with a full voice|||||||
077|full-voice_2015-01-26+i-believe-in-one-god-the-father-almighty+if-ye-call-on-the-father_1peter1-17|Full Voice|I Believe In One God The Father Almighty|If Ye Call On The Father|2015-01-26|A Priest should speak with a full voice|0000||0000|1 Peter 1-17||||||||||||||A Priest should speak with a full voice|||||||
078|full-voice_2015-02-24+heal-me-o-lord-and-i-shall-be-healed++reading-the-fathers-is-like-reading-scripture_jeremiah17-14-17|Full Voice|Heal Me O Lord And I Shall Be Healed||2015-02-24|A Priest should speak with a full voice|0000||0000|Jeremiah 17-14-17|||txt|||||||||||A Priest should speak with a full voice|||||||
079|full-voice_2015-02-24+heal-me-o-lord-and-i-shall-be-healed+reading-the-fathers-is-like-reading-scripture_jeremiah17-14-17|Full Voice||Reading The Fathers Is Like Reading Scripture|2015-02-24|A Priest should speak with a full voice|0000||0000|Jeremiah 17:14-17|||txt||||||A little explanation of the prayer from Jeremiah: &quot;Heal me, O Lord, and I shall be healed; save me, and I shall be saved; for thou art my praise. Behold, they say to me, Where is the word of the Lord? let it come. But I have not been weary of following thee, nor have I desired the day of man; thou knowest; the words that proceed out of my lips are before thy face. Be not to me a stranger, but spare me in the evil day.&quot;. Also about reading the Fathers. ||A little explanation of the prayer from Jeremiah: &quot;Heal me, O Lord, and I shall be healed; save me, and I shall be saved; for thou art my praise. Behold, they say to me, Where is the word of the Lord? let it come. But I have not been weary of following thee, nor have I desired the day of man; thou knowest; the words that proceed out of my lips are before thy face. Be not to me a stranger, but spare me in the evil day.&quot;. Also about reading the Fathers. |&quot;Heal me, O Lord, and I shall be healed!&quot; Jeremiah 17:14-17  A simple prayer with vehemence, expectation and a promise! Reading the Fathers is like reading scripture||A Priest should speak with a full voice|||||||
080|full-voice_2015-03-07+20-years-a-priest+higher-than-an-angel|Full Voice|||2015-03-07|A Priest should speak with a full voice|0000||0000|||||mp3|||||Thoughts on the eve of my 20 year anniversary to the priesthood. The best advice I received, the main purpose of the priesthood, things I learned, regrets I have, and would I do it again?||Thoughts on the eve of my 20 year anniversary to the priesthood. The best advice I received, the main purpose of the priesthood, things I learned, regrets I have, and would I do it again?|Twenty years a priest: higher than an angel. Reminisces: The best advice, regrets, the best parts. ||A Priest should speak with a full voice|||||||
081|full-voice_2015-04-30+holy-cross-pilgrimage-distractions-stupid-human-tricks+blessed-hope-of-christianity|Full Voice||Blessed Hope Of Christianity|2015-04-30 Thu|A Priest should speak with a full voice|0000||0000|||||mp3|||||Day 1 of my pilgrimage to the Hermitage of the Holy Cross. Travel distractions. Stupid human tricks. There will be a day when we have no distractions, only us and God, and no noise. This is the blessed hope of Christianity. This was recorded while walking on a gravel road, but the words are quite understandable. ||Day 1 of my pilgrimage to the Hermitage of the Holy Cross. Travel distractions. Stupid human tricks. There will be a day when we have no distractions, only us and God, and no noise. This is the blessed hope of Christianity. This was recorded while walking on a gravel road, but the words are quite understandable. |Pilgrimage to Holy Cross: Day 1: Distractions, Stupid human tricks and the Blessed hope||A Priest should speak with a full voice|||||||
082|full-voice_2015-05-01+holy-cross-pilgrimage+deliver-me-from-many-and-cruel-memories-and-deeds-and-free-me-from-all-their-evil-effects|Full Voice|||2015-05-01|A Priest should speak with a full voice|0000||0000|||||mp3|||||Explanation of a prayer in the midnight office: &quot;Quench the flame of my passions, for I am poor and wretched, and deliver me from many and cruel memories and deeds, and free me from all their evil effects&quot;.  A note to those who are not Orthodox Christians about understanding prayers to the Theotokos, so they are not &quot;scary&quot;. Why do we say &quot;Most Holy Theotokos save us?&quot; A dog teaches me about knowing my purpose. An apology for the Midnight Office. The privilege of the priesthood. People get help in monasteries, because monastics love others in a different way than most in the world. Christianity is to be FREE. No cruel memories and deeds in heaven!||Explanation of a prayer in the midnight office: &quot;Quench the flame of my passions, for I am poor and wretched, and deliver me from many and cruel memories and deeds, and free me from all their evil effects&quot;.  A note to those who are not Orthodox Christians about understanding prayers to the Theotokos, so they are not &quot;scary&quot;. Why do we say &quot;Most Holy Theotokos save us?&quot; A dog teaches me about knowing my purpose. An apology for the Midnight Office. The privilege of the priesthood. People get help in monasteries, because monastics love others in a different way than most in the world. Christianity is to be FREE. No cruel memories and deeds in heaven!|Pilgrimage to Holy Cross: Day 2: &quot;Quench the flame of my passions, for I am poor and wretched, and deliver me from many and cruel memories and deeds, and free me from all their evil effects&quot;. ||A Priest should speak with a full voice|||||||
083|full-voice_2015-05-02+holy-cross-pilgrimage-blessed-matrona-of-moscow|Full Voice|||2015-05-02|A Priest should speak with a full voice|0000||0000|||||mp3||||||||Pilgrimage to Holy Cross: Day 3: St Matrona of Moscow. The demons have it easier now. Quotes from her teaching. ||A Priest should speak with a full voice|||||||
084|full-voice_2015-05-20+holy-cross-pilgrimage-after-the-monastery-being-alone|Full Voice|Holy Cross Pilgrimage||2015-05-20|A Priest should speak with a full voice|0000||0000|||||mp3|||||Thoughts a week after leaving the Monastery. there are no substantive differences between Monastic and non-Monastic life. Being alone is not just for monks. It is for everyone, since the world is secular and we are not. We must go into our closet and pray, just like a monk. ||Thoughts a week after leaving the Monastery. there are no substantive differences between Monastic and non-Monastic life. Being alone is not just for monks. It is for everyone, since the world is secular and we are not. We must go into our closet and pray, just like a monk.|After the Monastery. Differences between Monastacism and Lay life - a VERY short list. Everybody should be alone.||A Priest should speak with a full voice|||||||
085|full-voice_2015-06-24+praying-when-you-have-bad-thoughts-grief-confusion-anger|Full Voice|Praying When You Have Bad Thoughts Grief Confusion Anger||2015-06-24|A Priest should speak with a full voice|0000||0000|||||mp3|||||On the way to prison today I heard a song and though of a friend who killed himself. I often have hard thoughts about this. what did I do? I prayed. About praying when you have bad thoughts, grief, confusion, anger. ||On the way to prison today I heard a song and though of a friend who killed himself. I often have hard thoughts about this. what did I do? I prayed. About praying when you have bad thoughts, grief, confusion, anger. |Praying when you have bad thoughts, grief, confusion, anger.||A Priest should speak with a full voice|||||||
086|full-voice_2015-09-17+parable-of-the-prodigal-sin+antidote-for-forgetfulness_luke15-11-32|Full Voice|||2015-09-17|A Priest should speak with a full voice|0000||0000|Luke 15:11-32|||txt||||||A synopsis of the Parable of the Prodigal son, emphasizing the words of the son to His father AFTER the Father had received his repentance: &quot;Father, I have sinned against heaven, and in thy sight, and am no more worthy to be called thy son.&quot;||A synopsis of the Parable of the Prodigal son, emphasizing the words of the son to His father AFTER the Father had received his repentance: &quot;Father, I have sinned against heaven, and in thy sight, and am no more worthy to be called thy son.&quot;|Parable of the Prodigal Son. Stages of repentance. The antidote for forgetfulness.|This parable is read on one of the Sundays preceding Great Lent, and many other homilies about it are found on our sermons page under the heading: < a href='https://www.orthodox.net//sermons/index.html#Sunday_of_the_Prodigal_Son'>Sunday of the Prodigal Son</a>|A Priest should speak with a full voice|||||||
087|full-voice_2015-09-19+my-soul-knoweth-it-right-well_psalm138-14|Full Voice|||2015-09-19|A Priest should speak with a full voice|0000||0000|Psalm 138:14|||txt||||||A personal commentary on this psalm verse. The entire purpose of Christianity can be said to be in the fulfillment of this verse. For now, we labor, and sometimes we forget, but there is always a part that remembers this promise.||A personal commentary on this psalm verse. The entire purpose of Christianity can be said to be in the fulfillment of this verse. For now, we labor, and sometimes we forget, but there is always a part that remembers this promise.|&quot;I will confess Thee, for awesomely art Thou wondrous, marvelous are Thy works, and my soul knoweth it right well.&quot; A personal commentary.||A Priest should speak with a full voice|||||||
088|full-voice_2015-10-20+gleanings-from-the-fathers+prison-straight-talk|Full Voice|Gleanings From The Fathers|Prison Straight Talk|2015-10-20|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
089|full-voice_2015-11-05+without-a-vision-the-people-perish|Full Voice|Without A Vision The People Perish||2015-11-05|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
090|full-voice_2015-11-18+prison-visit-report+1st-liturgy-at-powledge-baptism-at-michael|Full Voice|Prison Visit Report|1st Liturgy At Powledge Baptism At Michael|2015-11-18|A Priest should speak with a full voice|0000||0000||||txt|||||||||||A Priest should speak with a full voice|||||||
091|full-voice_2016+christian-teaching-on-homosexuality|Full Voice|Christian Teaching On Homosexuality||2016|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
092|full-voice_2016+orpr+priesthood-confession-scripture-lay-responsibility|Full Voice|ORPR CAMP <a href='http://www.orprcamp.org/'>http://www.orprcamp.org/</a>||2016|A Priest should speak with a full voice|0000||0000|||||mp3|||||Talk with ORPR camp older youth: The priesthood, priesthood ordination service, with extensive discussion of confession, reading the scripture, peace in the heart, the responsibility of lay people. ||Talk with ORPR camp older youth: The priesthood, priesthood ordination service, with extensive discussion of confession, reading the scripture, peace in the heart, the responsibility of lay people. |The priesthood, confession, reading scripture, peace in the heart, responsibility of lay people. ||A Priest should speak with a full voice|||||||
093|full-voice_2016+orpr+talk-on-priesthood-to-young-campers|Full Voice||Talk On Priesthood To Young Campers|2016-07-15|A Priest should speak with a full voice|0000||0000|||||mp3|||||This session captures some of the controlled chaos that happens when very interactive younger campers hear a talk from the priest. We covered various aspects of the priesthood, and an upcoming ordination, and fielded every question that came our way. We had to dig a few out of the dirt, but we handled them all! ||This session captures some of the controlled chaos that happens when very interactive younger campers hear a talk from the priest. We covered various aspects of the priesthood, and an upcoming ordination, and fielded every question that came our way. We had to dig a few out of the dirt, but we handled them all! |ORPR camp: talk on the priesthood to younger campers.||A Priest should speak with a full voice|||||||
094|full-voice_2016+orpr-camp+questions-on-homosexuality-and-the-church|Full Voice|ORPR CAMP <a href='http://www.orprcamp.org/'>http://www.orprcamp.org/</a>||2016-07-18|A Priest should speak with a full voice|0000||0000|||||mp3|||||At ORPR camp (http://www.orprcamp.org/), the campers write questions and the priests answer them.  These are the most popular sessions. To tell the truth, the theological sessions get a lot of sleepy faces, but the audience was engaged for these questions: Why does the church not support gay people? And why do some people call it unnatural to be in love with the same sex? And why do they call it a sin? Do you think being gay is a mental illness? What happens if you have sex before marriage?  We must teach our youth the reason for Christian behavior and the lies of modern culture. This is as important than teaching them about the &quot;Our Father&quot;||At ORPR camp, the campers write questions and the priests answer them.  These are the most popular sessions. To tell the truth, the theological sessions get a lot of sleepy faces, but the audience was engaged for these questions: Why does the church not support gay people? And why do some people call it unnatural to be in love with the same sex? And why do they call it a sin? Do you think being gay is a mental illness? What happens if you have sex before marriage?  We must teach our youth the reason for Christian behavior and the lies of modern culture. This is as important than teaching them about the &quot;Our Father&quot;|Questions on sexuality, homosexuality, marriage and the church - at ORPR camp. ||A Priest should speak with a full voice|||||||
095|full-voice_2016-03-12+pre-lenten-letter-and-resource-guide+letter-to-st-hermans-conferees|Full Voice|Pre Lenten Letter And Resource Guide|Letter To St Hermans Conferees|2016-03-12|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
096|full-voice_2016-05-17+monastery-pilgrimage+ellie-the-miracle-kid-and-st-panteleimon|Full Voice|Monastery Pilgrimage, Spring, 2016||2016-05-17 Tuesday|A Priest should speak with a full voice|0000||0000||||txt|mp3|||||Ellie is a goat kid who was brought back to life by St Panteleimon. This is her story, and why it matters. Her name is because of St Panteleimon, which means &quot;all-merciful&quot;. It is a shortening of &quot;eleison&quot;, the Greek word, meaning &quot;mercy&quot;||Ellie is a goat kid who was brought back to life by St Panteleimon. This is her story, and why it matters. Her name is because of St Panteleimon, which means &quot;all-merciful&quot;. It is a shortening of &quot;eleison&quot;, the Greek word, meaning &quot;mercy&quot;|Ellie the miracle kid, healed by St Panteleimon||A Priest should speak with a full voice|||||||
097|full-voice_2016-08-13+two-kinds-of-gladness|Full Voice|Two Kinds Of Gladness||2016-08-13|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
098|full-voice_2017+-theodore-the-sanctified-on-useless-questions+a-simple-and-essential-prayer-rule|Full Voice|_2017+-theodore-the-sanctified-on-useless-questions+a-simple-and-essential-prayer-rule Theodore The Sanctified On Useless Questions|A Simple And Essential Prayer Rule|2017|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
099|full-voice_2017+let-us-start-from-somewhere-else-the-important-thing-was-to-start|Full Voice|||2017-04-28|A Priest should speak with a full voice|0000||0000||||txt|||||||||Let us start from somewhere else. The important thing was to start. A saying of Elder Porphyrios, and its application. ||A Priest should speak with a full voice|||||||
100|full-voice_2017+pastoral attentiveness-of-elder-porphyrios+a-small-prayer|Full Voice|Pastoral attentiveness Of Elder Porphyrios|A Small Prayer|2017|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
101|full-voice_2017+pastoral-attentiveness-of-elder-porphyrios+a-small-prayer|Full Voice|Pastoral Attentiveness Of Elder Porphyrios|A Small Prayer|2017|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
102|full-voice_2017-02-14+pastoral-letter+meeting-of-the-lord|Full Voice|Pastoral Letter|Meeting Of The Lord|2017-02-14|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
103|full-voice_2017-12-13-monastery-pilgrimage-travelogue|Full|||voice|Full|0000||0000|2 017-12-13-Monastery-Pilgrimage-Travelogue|||txt|||||||||||Full|||||||
104|full-voice_2017-12-27+we-must-weep-at-night-in-order-to-feel-joy-in-the-day|Full Voice|We Must Weep At Night In Order To Feel Joy In The Day||2017-12-27|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
105|full_voice_2017+let-us-start-from-somewhere-else-the-important-thing-was-to-start|Full|||voice|Full|0000||0000|2 017, Let-Us-Start-From-Somewhere-Else-The-Important-Thing-Was-To-Start|||txt||||||||||||||||||
106|full_voice_2017-12-13-monastery-pilgrimage-travelogue|Full|||voice|Full|0000||0000|2 017-12-13-Monastery-Pilgrimage-Travelogue|||txt||||||||||||||||||
107|fv_2017+great-lent+theme-of-great-lent-and-life|Full Voice|Great Lent|Theme Of Great Lent And Life|2017|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
108|fv_2017+indian-creek+god-sunsets-sunrises-priesthood-and-turkeys|Full Voice|Indian Creek|God Sunsets Sunrises Priesthood And Turkeys|2017-12-13|Full Voice|0000||0000||||txt||||||Meditations on my pilgrimage to a ranch in Indian Creek, Tx. Of God, sunsets and sunrises, the priesthood, things that matter, and turkeys.||Meditations on my pilgrimage to a ranch in Indian Creek, Tx. Of God, sunsets and sunrises, the priesthood, things that matter, and turkeys.|Of God, sunsets and sunrises, the priesthood, things that matter, and turkeys. Dec 13-15 2017, Indian Creek, Texas.||Full Voice|||||||
109|fv_2017-02-16+great-lent+theme-of-great-lent-and-life|Full Voice|Great Lent||2017|A Priest should speak with a full voice|0000||0000||||txt||||||A hymn from the Triodion, Sunday of the Last Judgment (Meatfare), Matins Canon, Ode 1 is one of many Lenten prayers that teaches us the theme of Great Lent and life.||A hymn from the Triodion, Sunday of the Last Judgment (Meatfare), Matins Canon, Ode 1 is one of many Lenten prayers that teaches us the theme of Great Lent and life. |Unworthy though I be... the theme of Great Lent and life.||A Priest should speak with a full voice|||||||
110|fv_2017-02-18+orthodox-teaching-about-the-theotokos|Full Voice|Orthodox Teaching About The Theotokos||2017-02-18|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
111|fv_2017-06-09+a-simple-honest-prayer-we-are-to-blame-prayer-must-not-stand-alone+teachings-of-st-paisios-of-mount-athos|Full Voice|A Simple Honest Prayer We Are To Blame Prayer Must Not Stand Alone|Teachings Of St Paisios Of Mount Athos|2017-06-09|A Priest should speak with a full voice|0000||0000||||txt|||||||||||A Priest should speak with a full voice|||||||
112|fv_2018+dormition-pastoral-letter|Full Voice|Dormition Pastoral Letter||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
113|fv_2018+fasting-is done-with-the-heart as-well-as-the-stomach|Full Voice|Fasting Is done With The Heart as Well As The Stomach||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
114|fv_2018+fasting-is-done-with-the-heart-as-well-as-the-stomach|Full Voice|Fasting Is Done With The Heart As Well As The Stomach||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
115|fv_2018+is-depression-an-illness|Full Voice|Is Depression An Illness||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
116|fv_2018+matthew-6-34+a-command-that-must-be-understood-in-context|Full Voice|Commentary on Matthew 6:34||2018-06-19|A Priest should speak with a full voice|0000||0000||||||||||Commentary on Matthew 6:34, emphasizing the context of the context in the Sermon on the Mount||Commentary on Matthew 6:34, emphasizing the context of the context in the Sermon on the Mount|&quot;Take therefore no thought for the morrow: for the morrow shall take thought for the things of itself. Sufficient unto the day is the evil thereof.” (Mat 6:34) A command that must be understood in context||A Priest should speak with a full voice|||||||
117|fv_2018+nov-07-martyr-hieron+compassion-purpose-decisive-moments|Full Voice|Nov 07 Martyr Hieron|Compassion Purpose Decisive Moments|2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
118|fv_2018+nov-08-holy-archangel-michael-and-all-the-bodiless-powers-of-heaven|Full Voice|Nov 08 Holy Archangel Michael And All The Bodiless Powers Of Heaven||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
119|fv_2018+nov-09-abba-john-the-dwarf|Full Voice|Nov 09 Abba John The Dwarf||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
120|fv_2018+nov-10-martyr-orestes|Full Voice|Nov 10 Martyr Orestes||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
121|fv_2018+nov-11-king-stefan-of-decani+martyr-menas|Full Voice|Nov 11 King Stefan Of Decani|Martyr Menas|2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
122|fv_2018+praying-in-the-name-of-jesus|Full Voice|Praying In The Name Of Jesus||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
123|fv_2018+sin-temptation-sexual-temptation-personhood-homosexuality|Full Voice|Sin Temptation Sexual Temptation Personhood Homosexuality||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
